employee_id,employee_name,department,designation,hire_date,salary
56,Sanya Banik,Sales,Executive,2026-01-02,123198.51
57,Yashodhara Mohan,Sales,Executive,2023-12-17,38884.62
58,Tanvi Shankar,Marketing,Senior Executive,2024-02-29,94853.9
59,Zaid Chandran,Operations,Executive,2022-05-02,112682.39
60,Akshay Biswas,Operations,Manager,2025-05-03,50982.86
61,Arin Pau,Sales,Team Lead,2025-01-09,67151.16
62,Idika Peri,Customer Support,Executive,2024-11-14,113298.45
63,Aadi Thaker,Operations,Senior Executive,2023-03-24,95737.12
64,Mitesh Kothari,Operations,Manager,2021-11-27,35656.16
65,Joshua Natarajan,Operations,Manager,2024-09-06,116951.01
66,Veer Rattan,Logistics,Executive,2025-07-29,54136.95
67,Wahab Chadha,Sales,Executive,2026-04-30,80942.53
68,Wazir Maharaj,Customer Support,Manager,2025-09-18,107782.16
69,Teerth Varkey,Operations,Senior Executive,2023-02-25,44438.91
70,Aarush Barman,Sales,Executive,2024-05-26,34635.25
71,Orinder Bajaj,Marketing,Executive,2024-12-13,137683.65
72,Xavier Karpe,Operations,Manager,2023-05-01,85233.3
73,Mekhala Prakash,Logistics,Team Lead,2022-12-03,126371.07
74,Chakradhar Mannan,Sales,Senior Executive,2024-02-06,28885.48
75,Ayushman Choudhary,Operations,Executive,2025-11-22,69644.45
76,Chakradhar Chand,Sales,Team Lead,2026-06-11,125622.73
77,Raghav Dara,Logistics,Senior Executive,2026-02-27,128168.52
78,Meghana Balay,Customer Support,Manager,2024-01-12,141680.0
79,Chasmum Goyal,Logistics,Manager,2023-04-24,49893.39
80,Yug Malhotra,Marketing,Executive,2024-05-24,120289.42
81,Shravya Vala,Customer Support,Manager,2025-12-18,98945.61
82,Urvi Misra,Logistics,Team Lead,2023-03-30,113301.08
83,Raagini Bava,Logistics,Manager,2025-11-02,145600.74
84,Triveni Dara,Sales,Senior Executive,2022-12-16,134823.8
85,George Bhandari,Operations,Manager,2022-06-25,61025.37
86,Gaurav Arya,Marketing,Manager,2023-05-22,146234.48
87,Darpan Agate,Sales,Senior Executive,2023-09-07,124172.93
88,Jeevika Dhingra,Logistics,Executive,2025-06-10,107602.97
89,Raksha Ramaswamy,Logistics,Manager,2026-07-26,107640.13
90,Suhani Sundaram,Operations,Team Lead,2024-02-14,132239.94
91,Neel Murty,Customer Support,Team Lead,2025-01-02,72306.41
92,Gauri Sengupta,Marketing,Senior Executive,2022-12-30,84977.52
93,Ojas Nigam,Sales,Manager,2025-11-03,56507.42
94,Liam Rau,Customer Support,Team Lead,2024-07-21,90624.09
95,Lohit Chopra,Marketing,Team Lead,2022-10-22,92545.48
96,Ayaan Bava,Marketing,Manager,2025-06-15,67327.63
97,Banjeet Khanna,Customer Support,Executive,2025-11-29,33306.03
98,Henry Mishra,Customer Support,Manager,2025-09-13,143084.45
99,Daniel Sood,Marketing,Manager,2021-10-29,119772.95
100,Kashish Lata,Marketing,Manager,2023-03-19,104100.55
